1,CE zielony,33-200,ul. Graniczna 20  ,Warszawa
2,CE zielony,01-891,ul. Staffa 6        ,Warszawa
3,CE zielony,42-600,ul. Piastowska 10 ,Warszawa
4,CE zielony,33-130,Plac Kościuszki 8                                            ,Warszawa
5,CE zielony,98-320,ul. Częstochowska 53 a   ,Warszawa
6,CE zielony,66-220,Stok 4   ,Warszawa
7,CE zielony,01-452 ,Ks. Janusza 23,Warszawa
8,CE zielony,03-287,ul. Berensona 12b / U-5,Warszawa
9,CE zielony,02-798,ul. Mielczarskiego 10,Warszawa
10,CE zielony,37-710,ul. Bankowa 8,Warszawa
